Name,City,State,Category,Population
"Plover, Wisconsin",Plover, Wisconsin,city,12772
"Janesville, Wisconsin",Janesville, Wisconsin,city,70518
"Twin Lakes, Wisconsin",Twin Lakes, Wisconsin,city,6064
"Marinette, Wisconsin",Marinette, Wisconsin,city,18791
"Pleasant Prairie, Wisconsin",Pleasant Prairie, Wisconsin,city,20762
"Muskego, Wisconsin",Muskego, Wisconsin,city,24996
"Manitowoc, Wisconsin",Manitowoc, Wisconsin,city,44932
"Kronenwetter, Wisconsin",Kronenwetter, Wisconsin,city,7736
"Lake Hallie, Wisconsin",Lake Hallie, Wisconsin,city,6716
"Kenosha, Wisconsin",Kenosha, Wisconsin,city,124888
"Slinger, Wisconsin",Slinger, Wisconsin,city,5427
"Jefferson, Wisconsin",Jefferson, Wisconsin,city,8015
"Hales Corners, Wisconsin",Hales Corners, Wisconsin,city,7642
"Sussex, Wisconsin",Sussex, Wisconsin,city,10819
"Union Grove, Wisconsin",Union Grove, Wisconsin,city,7033
"Mukwonago, Wisconsin",Mukwonago, Wisconsin,city,21882
"Watertown, Wisconsin",Watertown, Wisconsin,city,23145
"Ripon, Wisconsin",Ripon, Wisconsin,city,8008
"Onalaska, Wisconsin",Onalaska, Wisconsin,city,18712
"Middleton, Wisconsin",Middleton, Wisconsin,city,19660
"Ashland, Wisconsin",Ashland, Wisconsin,city,6944
"Waterford, Wisconsin",Waterford, Wisconsin,city,5487
"Delavan, Wisconsin",Delavan, Wisconsin,city,12003
"Sparta, Wisconsin",Sparta, Wisconsin,city,10054
"De Forest, Wisconsin",De Forest, Wisconsin,city,10340
"La Crosse, Wisconsin",La Crosse, Wisconsin,city,101886
"Hobart, Wisconsin",Hobart, Wisconsin,city,8896
"Whitewater, Wisconsin",Whitewater, Wisconsin,city,14374
"Stevens Point, Wisconsin",Stevens Point, Wisconsin,city,43520
"Prairie du Chien, Wisconsin",Prairie du Chien, Wisconsin,city,6571
"Kimberly, Wisconsin",Kimberly, Wisconsin,city,6790
